date,team_1,team_2,location,rank,elo,win_pct,scrape_date
Sat Mar 22,Moldova,Norway,World Cup qualifier in Moldova,123 22,1356 1805,12% 88%,2025-02-26
Sat Mar 22,Montenegro,Gibraltar,World Cup qualifier in Montenegro,79 180,1521 1057,96% 4%,2025-02-26
Sat Mar 22,Wales,Kazakhstan,World Cup qualifier in Wales,38 99,1733 1413,92% 8%,2025-02-26
Sat Mar 22,Luxembourg,Sweden,Friendly in Luxembourg,91 36,1445 1745,24% 76%,2025-02-26
Sun Mar 23,France,Croatia,European Nations League in France,3 14,2056 1887,82% 18%,2025-02-26
Sun Mar 23,Germany,Italy,European Nations League in Germany,8 11,1972 1930,69% 31%,2025-02-26
Sun Mar 23,Portugal,Denmark,European Nations League in Portugal,6 16,1993 1857,80% 20%,2025-02-26
Sun Mar 23,Spain,Netherlands,European Nations League in Spain,1 10,2178 1939,88% 12%,2025-02-26
Sun Mar 23,Belgium,Ukraine,European League A/B in Belgium,17 24,1851 1802,70% 30%,2025-02-26
Sun Mar 23,Hungary,Turkey,European League A/B in Hungary,27 29,1779 1774,65% 35%,2025-02-26
Sun Mar 23,Scotland,Greece,European League A/B in Scotland,34 20,1760 1813,57% 43%,2025-02-26
Sun Mar 23,Serbia,Austria,European League A/B in Serbia,21 15,1810 1871,56% 44%,2025-02-26
Sun Mar 23,Georgia,Armenia,European League B/C in Georgia,47 100,1691 1412,90% 10%,2025-02-26
Sun Mar 23,Iceland,Kosovo,European League B/C in Spain,65 70,1576 1554,53% 47%,2025-02-26
Sun Mar 23,Ireland,Bulgaria,European League B/C in Ireland,57 84,1609 1486,78% 22%,2025-02-26
Sun Mar 23,Slovenia,Slovakia,European League B/C in Slovenia,40 45,1727 1702,67% 33%,2025-02-26
Mon Mar 24,Albania,Andorra,World Cup qualifier in Albania,53 176,1635 1083,98% 2%,2025-02-26
Mon Mar 24,Bosnia and Herzegovina,Cyprus,World Cup qualifier in Bosnia and Herzegovina,85 137,1485 1302,84% 16%,2025-02-26
Mon Mar 24,England,Latvia,World Cup qualifier in England,4 148,2007 1276,99.2% 0.8%,2025-02-26
Mon Mar 24,Lithuania,Finland,World Cup qualifier in Lithuania,142 74,1284 1538,29% 71%,2025-02-26
Mon Mar 24,Poland,Malta,World Cup qualifier in Poland,46 149,1700 1270,95% 5%,2025-02-26
Mon Mar 24,San Marino,Romania,World Cup qualifier in San Marino,205 42,849 1719,1.2% 98.8%,2025-02-26
Tue Mar 25,China,Australia,World Cup qualifier in China,101 43,1410 1718,23% 77%,2025-02-26
Tue Mar 25,Indonesia,Bahrain,World Cup qualifier in Indonesia,134 77,1317 1528,35% 65%,2025-02-26
Tue Mar 25,Iran,Uzbekistan,World Cup qualifier in Iran,18 49,1837 1681,81% 19%,2025-02-26
Tue Mar 25,Japan,Saudi Arabia,World Cup qualifier in Japan,13 75,1888 1535,93% 7%,2025-02-26
Tue Mar 25,Kuwait,Oman,World Cup qualifier in Kuwait,127 80,1337 1511,40% 60%,2025-02-26
Tue Mar 25,Kyrgyzstan,Qatar,World Cup qualifier in Kyrgyzstan,145 78,1278 1525,30% 70%,2025-02-26
Tue Mar 25,North Korea,United Arab Emirates,World Cup qualifier in North Korea,106 76,1403 1532,46% 54%,2025-02-26
Tue Mar 25,Palestine,Iraq,World Cup qualifier in Palestine,104 62,1406 1582,39% 61%,2025-02-26
Tue Mar 25,South Korea,Jordan,World Cup qualifier in South Korea,31 54,1773 1618,81% 19%,2025-02-26
Tue Mar 25,Bhutan,Yemen,Asian Cup qualifier in Bhutan,231 169,619 1123,9% 91%,2025-02-26
Tue Mar 25,Brunei,Lebanon,Asian Cup qualifier in Qatar,224 126,665 1339,2% 98%,2025-02-26
Tue Mar 25,India,Bangladesh,Asian Cup qualifier in India,162 199,1174 904,89% 11%,2025-02-26
Tue Mar 25,Malaysia,Nepal,Asian Cup qualifier in Malaysia,152 194,1253 931,92% 8%,2025-02-26
Tue Mar 25,Maldives,Philippines,Asian Cup qualifier in the Maldives,203 172,886 1119,32% 68%,2025-02-26
Tue Mar 25,Myanmar,Afghanistan,Asian Cup qualifier in Myanmar,197 176,914 1083,40% 60%,2025-02-26
Tue Mar 25,Singapore,Hong Kong,Asian Cup qualifier in Singapore,178 166,1074 1135,56% 44%,2025-02-26
Tue Mar 25,Taiwan,Turkmenistan,Asian Cup qualifier in Taiwan,195 161,923 1204,26% 74%,2025-02-26
Tue Mar 25,Tajikistan,East Timor,Asian Cup qualifier in Tajikistan,136 225,1304 659,98.6% 1.4%,2025-02-26
Tue Mar 25,Thailand,Sri Lanka,Asian Cup qualifier in Thailand,116 217,1377 721,98.7% 1.3%,2025-02-26
Tue Mar 25,Vietnam,Laos,Asian Cup qualifier in Vietnam,124 220,1355 697,98.7% 1.3%,2025-02-26
Tue Mar 25,Gibraltar,Czechia,World Cup qualifier in Gibraltar,180 35,1057 1754,3% 97%,2025-02-26
Tue Mar 25,Israel,Norway,World Cup qualifier in Hungary,58 22,1601 1805,24% 76%,2025-02-26
Tue Mar 25,Liechtenstein,Kazakhstan,World Cup qualifier in Liechtenstein,197 99,914 1413,9% 91%,2025-02-26
