date,team_1,team_2,location,rank,elo,win_pct,scrape_date
Tue Oct 8,Brunei,East Timor,Southeast Asian Champ qual in Brunei,219 225,692 646,70% 30%,2024-10-05
Wed Oct 9,Namibia,Zimbabwe,African Nations Cup qualifier in South Africa,121 129,1353 1336,52% 48%,2024-10-05
Wed Oct 9,Vietnam,India,Friendly tournament in Vietnam,150 163,1253 1169,74% 26%,2024-10-05
Wed Oct 9,Bahamas,US Virgin Islands,CONCACAF Nations League C in Barbados,210 233,792 608,74% 26%,2024-10-05
Wed Oct 9,Belize,Anguilla,CONCACAF Nations League C in Belize,181 225,1055 646,95% 5%,2024-10-05
Wed Oct 9,Saint Kitts and Nevis,British Virgin Islands,CONCACAF Nations League C in Saint Kitts and Nevis,173 227,1107 640,96% 4%,2024-10-05
Thu Oct 10,Fiji,Solomon Islands,World Cup qualifier in Fiji,160 161,1203 1190,66% 34%,2024-10-05
Thu Oct 10,New Caledonia,Papua New Guinea,World Cup qualifier in Fiji,155 178,1234 1079,71% 29%,2024-10-05
Thu Oct 10,Australia,China,World Cup qualifier in Australia,38 111,1723 1377,93% 7%,2024-10-05
Thu Oct 10,Bahrain,Indonesia,World Cup qualifier in Bahrain,87 118,1475 1359,78% 22%,2024-10-05
Thu Oct 10,Iraq,Palestine,World Cup qualifier in Iraq,53 103,1658 1408,88% 12%,2024-10-05
Thu Oct 10,Jordan,South Korea,World Cup qualifier in Jordan,57 35,1629 1743,48% 52%,2024-10-05
Thu Oct 10,Oman,Kuwait,World Cup qualifier in Oman,85 115,1499 1361,80% 20%,2024-10-05
Thu Oct 10,Qatar,Kyrgyzstan,World Cup qualifier in Qatar,67 145,1574 1272,91% 9%,2024-10-05
Thu Oct 10,Saudi Arabia,Japan,World Cup qualifier in Saudi Arabia,62 14,1588 1873,26% 74%,2024-10-05
Thu Oct 10,United Arab Emirates,North Korea,World Cup qualifier in the United Arab Emirates,74 104,1537 1406,79% 21%,2024-10-05
Thu Oct 10,Uzbekistan,Iran,World Cup qualifier in Uzbekistan,47 19,1690 1819,46% 54%,2024-10-05
Thu Oct 10,Algeria,Togo,African Nations Cup qualifier in Algeria,50 113,1671 1372,91% 9%,2024-10-05
Thu Oct 10,Burkina Faso,Burundi,African Nations Cup qualifier in Ivory Coast,79 136,1514 1315,76% 24%,2024-10-05
Thu Oct 10,Cape Verde,Botswana,African Nations Cup qualifier in Cape Verde,71 142,1554 1287,89% 11%,2024-10-05
Thu Oct 10,DR Congo,Tanzania,African Nations Cup qualifier in the Dem Rep of the Congo,66 107,1578 1395,84% 16%,2024-10-05
Thu Oct 10,Israel,France,European Nations League A in Israel,70 4,1557 2015,11% 89%,2024-10-05
Thu Oct 10,Italy,Belgium,European Nations League A in Italy,11 12,1943 1923,67% 33%,2024-10-05
Thu Oct 10,Austria,Kazakhstan,European Nations League B in Austria,18 92,1853 1457,95% 5%,2024-10-05
Thu Oct 10,England,Greece,European Nations League B in England,6 24,1996 1781,86% 14%,2024-10-05
Thu Oct 10,Finland,Ireland,European Nations League B in Finland,58 64,1607 1582,67% 33%,2024-10-05
Thu Oct 10,Norway,Slovenia,European Nations League B in Norway,34 26,1746 1777,60% 40%,2024-10-05
Thu Oct 10,Faroe Islands,Armenia,European Nations League C in the Faroe Islands,152 91,1244 1459,34% 66%,2024-10-05
Thu Oct 10,Latvia,North Macedonia,European Nations League C in Latvia,135 71,1319 1554,31% 69%,2024-10-05
Thu Oct 10,Gibraltar,San Marino,European Nations League D in Gibraltar,180 209,1056 798,89% 11%,2024-10-05
Thu Oct 10,Moldova,Andorra,European Nations League D in Moldova,114 177,1365 1083,90% 10%,2024-10-05
Thu Oct 10,Liechtenstein,Hong Kong,Friendly in Liechtenstein,190 171,954 1114,41% 59%,2024-10-05
Thu Oct 10,Malta,Turkmenistan,Friendly in Malta,149 159,1260 1204,71% 29%,2024-10-05
Thu Oct 10,Myanmar,Sri Lanka,Friendly in Myanmar,196 217,914 703,86% 14%,2024-10-05
Thu Oct 10,Bolivia,Colombia,World Cup qualifier in Bolivia,55 3,1637 2061,13% 87%,2024-10-05
Thu Oct 10,Chile,Brazil,World Cup qualifier in Chile,48 5,1689 1997,23% 77%,2024-10-05
Thu Oct 10,Ecuador,Paraguay,World Cup qualifier in Ecuador,15 42,1871 1710,82% 18%,2024-10-05
Thu Oct 10,Peru,Uruguay,World Cup qualifier in Peru,40 10,1714 1956,31% 69%,2024-10-05
Thu Oct 10,Venezuela,Argentina,World Cup qualifier in Venezuela,27 2,1771 2149,17% 83%,2024-10-05
Thu Oct 10,Cuba,Trinidad and Tobago,CONCACAF Nations League A in Cuba,138 109,1308 1383,54% 46%,2024-10-05
Thu Oct 10,French Guiana,Honduras,CONCACAF Nations League A in French Guiana,144 81,1277 1506,32% 68%,2024-10-05
Thu Oct 10,Nicaragua,Jamaica,CONCACAF Nations League A in Nicaragua,112 59,1373 1595,33% 67%,2024-10-05
Thu Oct 10,Bonaire,Montserrat,CONCACAF Nations League B in St Vincent & Grenadines,205 188,833 983,30% 70%,2024-10-05
Thu Oct 10,St Vincent & Grenadines,El Salvador,CONCACAF Nations League B in St Vincent & Grenadines,176 102,1088 1411,22% 78%,2024-10-05
Fri Oct 11,New Zealand,Tahiti,World Cup qualifier in Vanuatu,69 162,1570 1188,90% 10%,2024-10-05
Fri Oct 11,Angola,Niger,African Nations Cup qualifier in Angola,63 153,1585 1243,93% 7%,2024-10-05
Fri Oct 11,Benin,Rwanda,African Nations Cup qualifier in Ivory Coast,101 119,1413 1357,58% 42%,2024-10-05
Fri Oct 11,Cameroon,Kenya,African Nations Cup qualifier in Cameroon,65 99,1580 1437,80% 20%,2024-10-05
Fri Oct 11,Egypt,Mauritania,African Nations Cup qualifier in Egypt,51 123,1669 1349,92% 8%,2024-10-05
Fri Oct 11,Equatorial Guinea,Liberia,African Nations Cup qualifier in Equatorial Guinea,75 146,1526 1267,89% 11%,2024-10-05
Fri Oct 11,Ethiopia,Guinea,African Nations Cup qualifier in Ivory Coast,142 94,1287 1448,28% 72%,2024-10-05
Fri Oct 11,Gabon,Lesotho,African Nations Cup qualifier in Gabon,94 158,1448 1207,88% 12%,2024-10-05
Fri Oct 11,Gambia,Madagascar,African Nations Cup qualifier in Morocco,124 132,1346 1328,53% 47%,2024-10-05
Fri Oct 11,Ghana,Sudan,African Nations Cup qualifier in Ghana,83 106,1502 1399,76% 24%,2024-10-05
Fri Oct 11,Ivory Coast,Sierra Leone,African Nations Cup qualifier in Ivory Coast,56 140,1635 1303,92% 8%,2024-10-05
Fri Oct 11,Mali,Guinea-Bissau,African Nations Cup qualifier in Mali,60 116,1594 1360,87% 13%,2024-10-05
Fri Oct 11,Mozambique,Eswatini,African Nations Cup qualifier in Mozambique,96 156,1443 1219,87% 13%,2024-10-05
Fri Oct 11,Nigeria,Libya,African Nations Cup qualifier in Nigeria,61 110,1592 1379,86% 14%,2024-10-05
Fri Oct 11,Senegal,Malawi,African Nations Cup qualifier in Senegal,31 147,1754 1265,97% 3%,2024-10-05
Fri Oct 11,South Africa,Congo,African Nations Cup qualifier in South Africa,71 147,1554 1265,90% 10%,2024-10-05
Fri Oct 11,Tunisia,Comoros,African Nations Cup qualifier in Tunisia,49 126,1681 1343,93% 7%,2024-10-05
Fri Oct 11,Uganda,South Sudan,African Nations Cup qualifier in Uganda,108 170,1393 1116,90% 10%,2024-10-05
Fri Oct 11,Zambia,Chad,African Nations Cup qualifier in Zambia,116 164,1360 1162,85% 15%,2024-10-05
Fri Oct 11,Bosnia and Herzegovina,Germany,European Nations League A in Bosnia and Herzegovina,86 9,1491 1957,11% 89%,2024-10-05
Fri Oct 11,Hungary,Netherlands,European Nations League A in Hungary,29 8,1767 1960,37% 63%,2024-10-05
Fri Oct 11,Czechia,Albania,European Nations League B in Czechia,38 54,1723 1638,74% 26%,2024-10-05
Fri Oct 11,Iceland,Wales,European Nations League B in Iceland,67 46,1574 1701,46% 54%,2024-10-05
Fri Oct 11,Turkey,Montenegro,European Nations League B in Turkey,20 78,1812 1516,91% 9%,2024-10-05
Fri Oct 11,Ukraine,Georgia,European Nations League B in Ukraine,29 31,1767 1754,66% 34%,2024-10-05
Fri Oct 11,Estonia,Azerbaijan,European Nations League C in Estonia,119 90,1357 1461,49% 51%,2024-10-05
Fri Oct 11,Slovakia,Sweden,European Nations League C in Slovakia,45 44,1702 1703,64% 36%,2024-10-05
Fri Oct 11,Syria,Tajikistan,King's Cup in Thailand,97 122,1438 1350,62% 38%,2024-10-05
Fri Oct 11,Thailand,Philippines,King's Cup in Thailand,97 183,1438 1041,95% 5%,2024-10-05
Fri Oct 11,Cambodia,Taiwan,Friendly in Cambodia,206 199,827 899,54% 46%,2024-10-05
Fri Oct 11,Guadeloupe,Martinique,CONCACAF Nations League A in Guadeloupe,127 104,1338 1406,55% 45%,2024-10-05
Fri Oct 11,Guyana,Guatemala,CONCACAF Nations League A in Guyana,151 82,1252 1504,29% 71%,2024-10-05
Fri Oct 11,Suriname,Costa Rica,CONCACAF Nations League A in Suriname,127 52,1338 1662,22% 78%,2024-10-05
Fri Oct 11,Aruba,Haiti,CONCACAF Nations League B in Aruba,194 77,944 1517,6% 94%,2024-10-05
Fri Oct 11,Curaçao,Grenada,CONCACAF Nations League B in Saint Lucia,131 179,1329 1071,82% 18%,2024-10-05
Fri Oct 11,Puerto Rico,Sint Maarten,CONCACAF Nations League B in Aruba,166 202,1142 894,81% 19%,2024-10-05
Fri Oct 11,Saint Lucia,Saint Martin,CONCACAF Nations League B in Saint Lucia,167 195,1141 917,87% 13%,2024-10-05
Sat Oct 12,Vanuatu,Samoa,World Cup qualifier in Vanuatu,175 215,1092 740,93% 7%,2024-10-05
Sat Oct 12,Morocco,Central African Republic,African Nations Cup qualifier in Morocco,25 130,1780 1334,96% 4%,2024-10-05
Sat Oct 12,Croatia,Scotland,European Nations League A in Croatia,13 43,1912 1705,85% 15%,2024-10-05
Sat Oct 12,Poland,Portugal,European Nations League A in Poland,33 7,1748 1975,32% 68%,2024-10-05
Sat Oct 12,Serbia,Switzerland,European Nations League A in Serbia,23 17,1784 1855,54% 46%,2024-10-05
Sat Oct 12,Spain,Denmark,European Nations League A in Spain,1 16,2157 1863,91% 9%,2024-10-05
Sat Oct 12,Belarus,Northern Ireland,European Nations League C in Belarus,88 76,1464 1521,56% 44%,2024-10-05
Sat Oct 12,Bulgaria,Luxembourg,European Nations League C in Bulgaria,83 89,1502 1462,69% 31%,2024-10-05
