date,team_1,team_2,location,rank,elo,win_pct,scrape_date
Thu Nov 14,Papua New Guinea,Fiji,World Cup qualifier in Papua New Guinea,180 155,1062 1217,42% 58%,2024-10-24
Thu Nov 14,New Caledonia,Solomon Islands,World Cup qualifier in Papua New Guinea,150 162,1251 1176,61% 39%,2024-10-24
Thu Nov 14,Australia,Saudi Arabia,World Cup qualifier in Australia,36 69,1740 1562,83% 17%,2024-10-24
Thu Nov 14,Bahrain,China,World Cup qualifier in Bahrain,85 110,1475 1387,75% 25%,2024-10-24
Thu Nov 14,Indonesia,Japan,World Cup qualifier in Indonesia,120 15,1356 1875,8% 92%,2024-10-24
Thu Nov 14,Iraq,Jordan,World Cup qualifier in Iraq,53 56,1654 1619,69% 31%,2024-10-24
Thu Nov 14,Kuwait,South Korea,World Cup qualifier in Kuwait,123 28,1349 1781,13% 87%,2024-10-24
Thu Nov 14,North Korea,Iran,World Cup qualifier in North Korea,107 19,1395 1831,13% 87%,2024-10-24
Thu Nov 14,Oman,Palestine,World Cup qualifier in Oman,82 105,1495 1400,75% 25%,2024-10-24
Thu Nov 14,Qatar,Uzbekistan,World Cup qualifier in Qatar,68 47,1565 1699,45% 55%,2024-10-24
Thu Nov 14,United Arab Emirates,Kyrgyzstan,World Cup qualifier in the United Arab Emirates,79 140,1518 1290,87% 13%,2024-10-24
Thu Nov 14,Belgium,Italy,European Nations League A in Belgium,13 10,1909 1940,60% 40%,2024-10-24
Thu Nov 14,France,Israel,European Nations League A in France,3 72,2041 1548,97% 3%,2024-10-24
Thu Nov 14,Greece,England,European Nations League B in Greece,20 8,1824 1972,43% 57%,2024-10-24
Thu Nov 14,Ireland,Finland,European Nations League B in Ireland,62 67,1600 1570,68% 32%,2024-10-24
Thu Nov 14,Kazakhstan,Austria,European Nations League B in Kazakhstan,96 14,1443 1876,13% 87%,2024-10-24
Thu Nov 14,Slovenia,Norway,European Nations League B in Slovenia,32 33,1759 1755,65% 35%,2024-10-24
Thu Nov 14,Armenia,Faroe Islands,European Nations League C in Armenia,98 153,1425 1247,83% 17%,2024-10-24
Thu Nov 14,North Macedonia,Latvia,European Nations League C in North Macedonia,61 137,1604 1300,91% 9%,2024-10-24
Thu Nov 14,Hong Kong,Philippines,Friendly in Hong Kong,171 176,1106 1084,67% 33%,2024-10-24
Thu Nov 14,Malta,Liechtenstein,Friendly in Malta,144 190,1281 966,92% 8%,2024-10-24
Thu Nov 14,Thailand,Lebanon,Friendly in Thailand,92 134,1451 1304,81% 19%,2024-10-24
Thu Nov 14,Ecuador,Bolivia,World Cup qualifier in Ecuador,16 51,1867 1669,85% 15%,2024-10-24
Thu Nov 14,Paraguay,Argentina,World Cup qualifier in Paraguay,34 2,1741 2139,15% 85%,2024-10-24
Thu Nov 14,Peru,Chile,World Cup qualifier in Peru,37 50,1734 1675,71% 29%,2024-10-24
Thu Nov 14,Uruguay,Colombia,World Cup qualifier in Uruguay,11 4,1919 2031,48% 52%,2024-10-24
Thu Nov 14,Venezuela,Brazil,World Cup qualifier in Venezuela,30 5,1766 2014,30% 70%,2024-10-24
Thu Nov 14,El Salvador,Bonaire,CONCACAF Nations League B in El Salvador,109 205,1388 850,98% 2%,2024-10-24
Thu Nov 14,Montserrat,St Vincent & Grenadines,CONCACAF Nations League B in El Salvador,190 169,966 1111,30% 70%,2024-10-24
Fri Nov 15,New Zealand,Vanuatu,World Cup qualifier in New Zealand,66 174,1581 1097,97% 3%,2024-10-24
Fri Nov 15,Samoa,Tahiti,World Cup qualifier in New Zealand,215 161,735 1181,7% 93%,2024-10-24
Fri Nov 15,Denmark,Spain,European Nations League A in Denmark,17 1,1863 2166,24% 76%,2024-10-24
Fri Nov 15,Portugal,Poland,European Nations League A in Portugal,6 37,1984 1734,88% 12%,2024-10-24
Fri Nov 15,Scotland,Croatia,European Nations League A in Scotland,44 12,1709 1913,35% 65%,2024-10-24
Fri Nov 15,Switzerland,Serbia,European Nations League A in Switzerland,21 22,1823 1807,66% 34%,2024-10-24
Fri Nov 15,Cyprus,Lithuania,European Nations League C in Cyprus,140 136,1290 1303,62% 38%,2024-10-24
Fri Nov 15,Luxembourg,Bulgaria,European Nations League C in Luxembourg,87 88,1470 1468,64% 36%,2024-10-24
Fri Nov 15,Northern Ireland,Belarus,European Nations League C in Northern Ireland,73 89,1544 1467,73% 27%,2024-10-24
Fri Nov 15,Romania,Kosovo,European Nations League C in Romania,39 76,1729 1535,84% 16%,2024-10-24
Fri Nov 15,San Marino,Gibraltar,European Nations League D in San Marino,210 181,790 1061,27% 73%,2024-10-24
Fri Nov 15,Russia,Brunei,Friendly in Russia,26 224,1785 665,99.9% 0.1%,2024-10-24
Fri Nov 15,Singapore,Myanmar,Friendly in Singapore,170 197,1109 911,85% 15%,2024-10-24
Fri Nov 15,Aruba,Puerto Rico,CONCACAF Nations League B in Haiti,194 168,936 1120,26% 74%,2024-10-24
Fri Nov 15,Curaçao,Saint Martin,CONCACAF Nations League B in Curaçao,132 189,1324 977,93% 7%,2024-10-24
Fri Nov 15,Grenada,Saint Lucia,CONCACAF Nations League B in Curaçao,179 177,1076 1081,49% 51%,2024-10-24
Fri Nov 15,Haiti,Sint Maarten,CONCACAF Nations League B in Haiti,78 196,1525 916,98.3% 1.7%,2024-10-24
Sat Nov 16,Germany,Bosnia and Herzegovina,European Nations League A in Germany,7 86,1975 1472,97% 3%,2024-10-24
Sat Nov 16,Netherlands,Hungary,European Nations League A in the Netherlands,9 24,1941 1787,81% 19%,2024-10-24
Sat Nov 16,Albania,Czechia,European Nations League B in Albania,53 34,1654 1741,52% 48%,2024-10-24
Sat Nov 16,Georgia,Ukraine,European Nations League B in Georgia,46 27,1704 1783,53% 47%,2024-10-24
Sat Nov 16,Montenegro,Iceland,European Nations League B in Montenegro,81 70,1506 1557,57% 43%,2024-10-24
Sat Nov 16,Turkey,Wales,European Nations League B in Turkey,18 45,1835 1705,79% 21%,2024-10-24
Sat Nov 16,Azerbaijan,Estonia,European Nations League C in Azerbaijan,102 113,1414 1372,69% 31%,2024-10-24
Sat Nov 16,Sweden,Slovakia,European Nations League C in Sweden,41 43,1724 1713,65% 35%,2024-10-24
Sat Nov 16,Andorra,Moldova,European Nations League D in Andorra,178 122,1080 1350,27% 73%,2024-10-24
Sat Nov 16,Antigua and Barbuda,Bermuda,CONCACAF Nations League B in the Dominican Republic,195 165,922 1154,21% 79%,2024-10-24
Sat Nov 16,Dominican Republic,Dominica,CONCACAF Nations League B in the Dominican Republic,146 187,1262 992,89% 11%,2024-10-24
Sun Nov 17,Fiji,New Caledonia,World Cup qualifier in Papua New Guinea,155 150,1217 1251,45% 55%,2024-10-24
Sun Nov 17,Papua New Guinea,Solomon Islands,World Cup qualifier in Papua New Guinea,180 162,1062 1176,48% 52%,2024-10-24
