date,team_1,team_2,location,rank,elo,win_pct,scrape_date
Sun Nov 17,Belgium,Israel,European Nations League A in Hungary,13 72,1909 1548,89% 11%,2024-10-24
Sun Nov 17,Italy,France,European Nations League A in Italy,10 3,1940 2041,50% 50%,2024-10-24
Sun Nov 17,Austria,Slovenia,European Nations League B in Austria,14 32,1876 1759,78% 22%,2024-10-24
Sun Nov 17,England,Ireland,European Nations League B in England,8 62,1972 1600,94% 6%,2024-10-24
Sun Nov 17,Finland,Greece,European Nations League B in Finland,67 20,1570 1824,29% 71%,2024-10-24
Sun Nov 17,Norway,Kazakhstan,European Nations League B in Norway,33 96,1755 1443,91% 9%,2024-10-24
Sun Nov 17,Latvia,Armenia,European Nations League C in Latvia,137 98,1300 1425,46% 54%,2024-10-24
Sun Nov 17,North Macedonia,Faroe Islands,European Nations League C in North Macedonia,61 153,1604 1247,93% 7%,2024-10-24
Sun Nov 17,Thailand,Laos,Friendly in Thailand,92 224,1451 665,99.4% 0.6%,2024-10-24
Sun Nov 17,Bonaire,St Vincent & Grenadines,CONCACAF Nations League B in El Salvador,205 169,850 1111,18% 82%,2024-10-24
Sun Nov 17,El Salvador,Montserrat,CONCACAF Nations League B in El Salvador,109 190,1388 966,95% 5%,2024-10-24
Mon Nov 18,New Zealand,Samoa,World Cup qualifier in New Zealand,66 215,1581 735,99.6% 0.4%,2024-10-24
Mon Nov 18,Tahiti,Vanuatu,World Cup qualifier in New Zealand,161 174,1181 1097,62% 38%,2024-10-24
Mon Nov 18,Croatia,Portugal,European Nations League A in Croatia,12 6,1913 1984,54% 46%,2024-10-24
Mon Nov 18,Poland,Scotland,European Nations League A in Poland,37 44,1734 1709,67% 33%,2024-10-24
Mon Nov 18,Serbia,Denmark,European Nations League A in Serbia,22 17,1807 1863,56% 44%,2024-10-24
Mon Nov 18,Spain,Switzerland,European Nations League A in Spain,1 21,2166 1823,93% 7%,2024-10-24
Mon Nov 18,Bulgaria,Belarus,European Nations League C in Bulgaria,88 89,1468 1467,64% 36%,2024-10-24
Mon Nov 18,Kosovo,Lithuania,European Nations League C in Kosovo,76 136,1535 1303,87% 13%,2024-10-24
Mon Nov 18,Luxembourg,Northern Ireland,European Nations League C in Luxembourg,87 73,1470 1544,54% 46%,2024-10-24
Mon Nov 18,Romania,Cyprus,European Nations League C in Romania,39 140,1729 1290,96% 4%,2024-10-24
Mon Nov 18,Liechtenstein,San Marino,European Nations League D in Liechtenstein,190 210,966 790,83% 17%,2024-10-24
Mon Nov 18,Aruba,Sint Maarten,CONCACAF Nations League B in Haiti,194 196,936 916,53% 47%,2024-10-24
Mon Nov 18,Curaçao,Saint Lucia,CONCACAF Nations League B in Curaçao,132 177,1324 1081,88% 12%,2024-10-24
Mon Nov 18,Grenada,Saint Martin,CONCACAF Nations League B in Curaçao,179 189,1076 977,64% 36%,2024-10-24
Mon Nov 18,Haiti,Puerto Rico,CONCACAF Nations League B in Haiti,78 168,1525 1120,95% 5%,2024-10-24
Tue Nov 19,Bahrain,Australia,World Cup qualifier in Bahrain,85 36,1475 1740,28% 72%,2024-10-24
Tue Nov 19,China,Japan,World Cup qualifier in China,110 15,1387 1875,10% 90%,2024-10-24
Tue Nov 19,Indonesia,Saudi Arabia,World Cup qualifier in Indonesia,120 69,1356 1562,35% 65%,2024-10-24
Tue Nov 19,Kuwait,Jordan,World Cup qualifier in Kuwait,123 56,1349 1619,27% 73%,2024-10-24
Tue Nov 19,Kyrgyzstan,Iran,World Cup qualifier in Kyrgyzstan,140 19,1290 1831,7% 93%,2024-10-24
Tue Nov 19,North Korea,Uzbekistan,World Cup qualifier in North Korea,107 47,1395 1699,24% 76%,2024-10-24
Tue Nov 19,Oman,Iraq,World Cup qualifier in Oman,82 53,1495 1654,42% 58%,2024-10-24
Tue Nov 19,Palestine,South Korea,World Cup qualifier in Palestine,105 28,1400 1781,17% 83%,2024-10-24
Tue Nov 19,United Arab Emirates,Qatar,World Cup qualifier in the United Arab Emirates,79 68,1518 1565,58% 42%,2024-10-24
Tue Nov 19,Bosnia and Herzegovina,Netherlands,European Nations League A in Bosnia and Herzegovina,86 9,1472 1941,11% 89%,2024-10-24
Tue Nov 19,Hungary,Germany,European Nations League A in Hungary,24 7,1787 1975,38% 62%,2024-10-24
Tue Nov 19,Albania,Ukraine,European Nations League B in Albania,53 27,1654 1783,46% 54%,2024-10-24
Tue Nov 19,Czechia,Georgia,European Nations League B in Czechia,34 46,1741 1704,69% 31%,2024-10-24
Tue Nov 19,Montenegro,Turkey,European Nations League B in Montenegro,81 18,1506 1835,21% 79%,2024-10-24
Tue Nov 19,Wales,Iceland,European Nations League B in Wales,45 70,1705 1557,81% 19%,2024-10-24
Tue Nov 19,Slovakia,Estonia,European Nations League C in Slovakia,43 113,1713 1372,93% 7%,2024-10-24
Tue Nov 19,Sweden,Azerbaijan,European Nations League C in Sweden,41 102,1724 1414,91% 9%,2024-10-24
Tue Nov 19,Malta,Andorra,European Nations League D in Malta,144 178,1281 1080,85% 15%,2024-10-24
Tue Nov 19,Gibraltar,Moldova,Friendly in Gibraltar,181 122,1061 1350,25% 75%,2024-10-24
Tue Nov 19,Hong Kong,Mauritius,Friendly in Hong Kong,171 184,1106 1041,72% 28%,2024-10-24
Tue Nov 19,India,Malaysia,Friendly in India,163 142,1174 1286,48% 52%,2024-10-24
Tue Nov 19,Myanmar,Lebanon,Friendly in Myanmar,197 134,911 1304,16% 84%,2024-10-24
Tue Nov 19,Russia,Syria,Friendly in Russia,26 97,1785 1438,93% 7%,2024-10-24
Tue Nov 19,Singapore,Taiwan,Friendly in Singapore,170 202,1109 890,86% 14%,2024-10-24
Tue Nov 19,Tajikistan,Nepal,Friendly in Tajikistan,138 201,1294 898,95% 5%,2024-10-24
Tue Nov 19,Argentina,Peru,World Cup qualifier in Argentina,2 37,2139 1734,95% 5%,2024-10-24
Tue Nov 19,Bolivia,Paraguay,World Cup qualifier in Bolivia,51 34,1669 1741,54% 46%,2024-10-24
Tue Nov 19,Brazil,Uruguay,World Cup qualifier in Brazil,5 11,2014 1919,75% 25%,2024-10-24
Tue Nov 19,Chile,Venezuela,World Cup qualifier in Chile,50 30,1675 1766,51% 49%,2024-10-24
Tue Nov 19,Colombia,Ecuador,World Cup qualifier in Colombia,4 16,2031 1867,82% 18%,2024-10-24
Tue Nov 19,Antigua and Barbuda,Dominica,CONCACAF Nations League B in the Dominican Republic,195 187,922 992,40% 60%,2024-10-24
Tue Nov 19,Dominican Republic,Bermuda,CONCACAF Nations League B in the Dominican Republic,146 165,1262 1154,77% 23%,2024-10-24
Sat Dec 7,Hong Kong,Northern Mariana Islands,East Asian Champ qual in Hong Kong,171 239,1106 452,98.7% 1.3%,2024-10-24
Sat Dec 7,Mongolia,Taiwan,East Asian Champ qual in Hong Kong,214 202,754 890,31% 69%,2024-10-24
Sun Dec 8,Cambodia,Malaysia,Southeast Asian Champ in Cambodia,207 142,832 1286,12% 88%,2024-10-24
Sun Dec 8,East Timor,Thailand,Southeast Asian Champ in East Timor,222 92,673 1451,2% 98%,2024-10-24
Sun Dec 8,Guam,North Korea,East Asian Champ qual in Hong Kong,220 107,680 1395,1.6% 98.4%,2024-10-24
Mon Dec 9,Laos,Vietnam,Southeast Asian Champ in Laos,224 152,665 1248,6% 94%,2024-10-24
Mon Dec 9,Myanmar,Indonesia,Southeast Asian Champ in Myanmar,197 120,911 1356,12% 88%,2024-10-24
Tue Dec 10,Hong Kong,Mongolia,East Asian Champ qual in Hong Kong,171 214,1106 754,93% 7%,2024-10-24
Tue Dec 10,Northern Mariana Islands,Taiwan,East Asian Champ qual in Hong Kong,239 202,452 890,7% 93%,2024-10-24
Wed Dec 11,Malaysia,East Timor,Southeast Asian Champ in Malaysia,142 222,1286 673,98.4% 1.6%,2024-10-24
Wed Dec 11,Singapore,Cambodia,Southeast Asian Champ in Singapore,170 207,1109 832,90% 10%,2024-10-24
Wed Dec 11,Guam,Macao,East Asian Champ qual in Hong Kong,220 232,680 614,59% 41%,2024-10-24
Thu Dec 12,Indonesia,Laos,Southeast Asian Champ in Indonesia,120 224,1356 665,99.0% 1.0%,2024-10-24
Thu Dec 12,Philippines,Myanmar,Southeast Asian Champ in the Philippines,176 197,1084 911,83% 17%,2024-10-24
Fri Dec 13,Hong Kong,Taiwan,East Asian Champ qual in Hong Kong,171 202,1106 890,86% 14%,2024-10-24
Fri Dec 13,Mongolia,Northern Mariana Islands,East Asian Champ qual in Hong Kong,214 239,754 452,85% 15%,2024-10-24
Sat Dec 14,East Timor,Singapore,Southeast Asian Champ in East Timor,222 170,673 1109,13% 87%,2024-10-24
Sat Dec 14,Thailand,Malaysia,Southeast Asian Champ in Thailand,92 142,1451 1286,82% 18%,2024-10-24
Sat Dec 14,Macao,North Korea,East Asian Champ qual in Hong Kong,232 107,614 1395,1.1% 98.9%,2024-10-24
Sun Dec 15,Laos,Philippines,Southeast Asian Champ in Laos,224 176,665 1084,14% 86%,2024-10-24
Sun Dec 15,Vietnam,Indonesia,Southeast Asian Champ in Vietnam,152 120,1248 1356,49% 51%,2024-10-24
Tue Dec 17,Cambodia,East Timor,Southeast Asian Champ in Cambodia,207 222,832 673,82% 18%,2024-10-24
Tue Dec 17,Singapore,Thailand,Southeast Asian Champ in Singapore,170 92,1109 1451,20% 80%,2024-10-24
Wed Dec 18,Myanmar,Laos,Southeast Asian Champ in Myanmar,197 224,911 665,88% 12%,2024-10-24
Wed Dec 18,Philippines,Vietnam,Southeast Asian Champ in the Philippines,176 152,1084 1248,41% 59%,2024-10-24
Fri Dec 20,Malaysia,Singapore,Southeast Asian Champ in Malaysia,142 170,1286 1109,83% 17%,2024-10-24
Fri Dec 20,Thailand,Cambodia,Southeast Asian Champ in Thailand,92 207,1451 832,98.4% 1.6%,2024-10-24
Sat Dec 21,Indonesia,Philippines,Southeast Asian Champ in Indonesia,120 176,1356 1084,89% 11%,2024-10-24
Sat Dec 21,Vietnam,Myanmar,Southeast Asian Champ in Vietnam,152 197,1248 911,93% 7%,2024-10-24
Mon Jan 6,Mexico,Thailand,Friendly in the United States,23 92,1801 1451,88% 12%,2024-10-24
Mon Jan 13,El Salvador,Thailand,Friendly in the United States,109 92,1388 1451,41% 59%,2024-10-24
Thu Mar 20,Australia,Indonesia,World Cup qualifier in Australia,36 120,1740 1356,94% 6%,2024-10-24
Thu Mar 20,Iran,United Arab Emirates,World Cup qualifier in Iran,19 79,1831 1518,92% 8%,2024-10-24
Thu Mar 20,Iraq,Kuwait,World Cup qualifier in Iraq,53 123,1654 1349,91% 9%,2024-10-24
Thu Mar 20,Japan,Bahrain,World Cup qualifier in Japan,15 85,1875 1475,95% 5%,2024-10-24
Thu Mar 20,Jordan,Palestine,World Cup qualifier in Jordan,56 105,1619 1400,86% 14%,2024-10-24
Thu Mar 20,Qatar,North Korea,World Cup qualifier in Qatar,68 107,1565 1395,83% 17%,2024-10-24
Thu Mar 20,Saudi Arabia,China,World Cup qualifier in Saudi Arabia,69 110,1562 1387,83% 17%,2024-10-24
Thu Mar 20,South Korea,Oman,World Cup qualifier in South Korea,28 82,1781 1495,90% 10%,2024-10-24
Thu Mar 20,Uzbekistan,Kyrgyzstan,World Cup qualifier in Uzbekistan,47 140,1699 1290,95% 5%,2024-10-24
Thu Mar 20,Brazil,Colombia,World Cup qualifier in Brazil,5 4,2014 2031,62% 38%,2024-10-24
Thu Mar 20,Ecuador,Venezuela,World Cup qualifier in Ecuador,16 30,1867 1766,76% 24%,2024-10-24
Thu Mar 20,Paraguay,Chile,World Cup qualifier in Paraguay,34 50,1741 1675,72% 28%,2024-10-24
Thu Mar 20,Peru,Bolivia,World Cup qualifier in Peru,37 51,1734 1669,72% 28%,2024-10-24
Thu Mar 20,Uruguay,Argentina,World Cup qualifier in Uruguay,11 2,1919 2139,33% 67%,2024-10-24
Tue Mar 25,China,Australia,World Cup qualifier in China,110 36,1387 1740,19% 81%,2024-10-24
Tue Mar 25,Indonesia,Bahrain,World Cup qualifier in Indonesia,120 85,1356 1475,47% 53%,2024-10-24
Tue Mar 25,Iran,Uzbekistan,World Cup qualifier in Iran,19 47,1831 1699,79% 21%,2024-10-24
Tue Mar 25,Japan,Saudi Arabia,World Cup qualifier in Japan,15 69,1875 1562,92% 8%,2024-10-24
Tue Mar 25,Kuwait,Oman,World Cup qualifier in Kuwait,123 82,1349 1495,43% 57%,2024-10-24
Tue Mar 25,Kyrgyzstan,Qatar,World Cup qualifier in Kyrgyzstan,140 68,1290 1565,27% 73%,2024-10-24
Tue Mar 25,North Korea,United Arab Emirates,World Cup qualifier in North Korea,107 79,1395 1518,47% 53%,2024-10-24
Tue Mar 25,Palestine,Iraq,World Cup qualifier in Palestine,105 53,1400 1654,29% 71%,2024-10-24
Tue Mar 25,South Korea,Jordan,World Cup qualifier in South Korea,28 56,1781 1619,82% 18%,2024-10-24
Tue Mar 25,Argentina,Brazil,World Cup qualifier in Argentina,2 5,2139 2014,79% 21%,2024-10-24
Tue Mar 25,Bolivia,Uruguay,World Cup qualifier in Bolivia,51 11,1669 1919,30% 70%,2024-10-24
Tue Mar 25,Chile,Ecuador,World Cup qualifier in Chile,50 16,1675 1867,37% 63%,2024-10-24
Tue Mar 25,Colombia,Paraguay,World Cup qualifier in Colombia,4 34,2031 1741,90% 10%,2024-10-24
Tue Mar 25,Venezuela,Peru,World Cup qualifier in Venezuela,30 37,1766 1734,68% 32%,2024-10-24
Jun 4 2025,Chile,Argentina,World Cup qualifier in Chile,50 2,1675 2139,11% 89%,2024-10-24
Jun 4 2025,Colombia,Peru,World Cup qualifier in Colombia,4 37,2031 1734,91% 9%,2024-10-24
Jun 4 2025,Ecuador,Brazil,World Cup qualifier in Ecuador,16 5,1867 2014,43% 57%,2024-10-24
Jun 4 2025,Paraguay,Uruguay,World Cup qualifier in Paraguay,34 11,1741 1919,39% 61%,2024-10-24
Jun 4 2025,Venezuela,Bolivia,World Cup qualifier in Venezuela,30 51,1766 1669,76% 24%,2024-10-24
Jun 4 2025,Barbados,Aruba,World Cup qualifier in Barbados,188 194,978 936,69% 31%,2024-10-24
Jun 4 2025,Bermuda,Cayman Islands,World Cup qualifier in Bermuda,165 206,1154 838,92% 8%,2024-10-24
Jun 4 2025,Dominica,British Virgin Islands,World Cup qualifier in Dominica,187 228,992 627,94% 6%,2024-10-24
Jun 4 2025,Grenada,Bahamas,World Cup qualifier in Grenada,179 209,1076 793,90% 10%,2024-10-24
Jun 4 2025,Montserrat,Belize,World Cup qualifier in Montserrat,190 181,966 1061,51% 49%,2024-10-24
Jun 4 2025,St Vincent & Grenadines,Anguilla,World Cup qualifier in St Vincent & Grenadines,169 229,1111 623,97% 3%,2024-10-24
Jun 5 2025,Australia,Japan,World Cup qualifier in Australia,36 15,1740 1875,45% 55%,2024-10-24
Jun 5 2025,Bahrain,Saudi Arabia,World Cup qualifier in Bahrain,85 69,1475 1562,52% 48%,2024-10-24
Jun 5 2025,Indonesia,China,World Cup qualifier in Indonesia,120 110,1356 1387,60% 40%,2024-10-24
Jun 5 2025,Iraq,South Korea,World Cup qualifier in Iraq,53 28,1654 1781,46% 54%,2024-10-24
Jun 5 2025,Kuwait,Palestine,World Cup qualifier in Kuwait,123 105,1349 1400,57% 43%,2024-10-24
Jun 5 2025,North Korea,Kyrgyzstan,World Cup qualifier in North Korea,107 140,1395 1290,76% 24%,2024-10-24
Jun 5 2025,Oman,Jordan,World Cup qualifier in Oman,82 56,1495 1619,47% 53%,2024-10-24
Jun 5 2025,Qatar,Iran,World Cup qualifier in Qatar,68 19,1565 1831,28% 72%,2024-10-24
Jun 5 2025,United Arab Emirates,Uzbekistan,World Cup qualifier in the United Arab Emirates,79 47,1518 1699,39% 61%,2024-10-24
Jun 6 2025,Antigua and Barbuda,Cuba,World Cup qualifier in Antigua and Barbuda,195 139,922 1291,18% 82%,2024-10-24
Jun 6 2025,Curaçao,Saint Lucia,World Cup qualifier in Curaçao,132 177,1324 1081,88% 12%,2024-10-24
Jun 6 2025,Guatemala,Dominican Republic,World Cup qualifier in Guatemala,80 146,1507 1262,88% 12%,2024-10-24
Jun 6 2025,Nicaragua,Guyana,World Cup qualifier in Nicaragua,117 155,1363 1217,80% 20%,2024-10-24
Jun 6 2025,Suriname,Puerto Rico,World Cup qualifier in Suriname,114 168,1366 1120,88% 12%,2024-10-24
Jun 6 2025,Trinidad and Tobago,Saint Kitts and Nevis,World Cup qualifier in Trinidad and Tobago,105 175,1400 1093,91% 9%,2024-10-24
Jun 7 2025,Anguilla,El Salvador,World Cup qualifier in Anguilla,229 109,623 1388,2% 98%,2024-10-24
Jun 7 2025,Aruba,Haiti,World Cup qualifier in Aruba,194 78,936 1525,6% 94%,2024-10-24
Jun 7 2025,Bahamas,Costa Rica,World Cup qualifier in the Bahamas,209 52,793 1666,1.2% 98.8%,2024-10-24
Jun 7 2025,Belize,Panama,World Cup qualifier in Belize,181 42,1061 1714,4% 96%,2024-10-24
Jun 7 2025,British Virgin Islands,Jamaica,World Cup qualifier in the British Virgin Islands,228 58,627 1605,0.6% 99.4%,2024-10-24
Jun 7 2025,Cayman Islands,Honduras,World Cup qualifier in the Cayman Islands,206 77,838 1529,3% 97%,2024-10-24
Jun 9 2025,Argentina,Colombia,World Cup qualifier in Argentina,2 4,2139 2031,77% 23%,2024-10-24
Jun 9 2025,Bolivia,Chile,World Cup qualifier in Bolivia,51 50,1669 1675,63% 37%,2024-10-24
Jun 9 2025,Brazil,Paraguay,World Cup qualifier in Brazil,5 34,2014 1741,90% 10%,2024-10-24
Jun 9 2025,Peru,Ecuador,World Cup qualifier in Peru,37 16,1734 1867,45% 55%,2024-10-24
Jun 9 2025,Uruguay,Venezuela,World Cup qualifier in Uruguay,11 30,1919 1766,81% 19%,2024-10-24
Jun 10 2025,China,Bahrain,World Cup qualifier in China,110 85,1387 1475,52% 48%,2024-10-24
Jun 10 2025,Iran,North Korea,World Cup qualifier in Iran,19 107,1831 1395,96% 4%,2024-10-24
Jun 10 2025,Japan,Indonesia,World Cup qualifier in Japan,15 120,1875 1356,97% 3%,2024-10-24
Jun 10 2025,Jordan,Iraq,World Cup qualifier in Jordan,56 53,1619 1654,59% 41%,2024-10-24
Jun 10 2025,Kyrgyzstan,United Arab Emirates,World Cup qualifier in Kyrgyzstan,140 79,1290 1518,32% 68%,2024-10-24
Jun 10 2025,Palestine,Oman,World Cup qualifier in Palestine,105 82,1400 1495,51% 49%,2024-10-24
Jun 10 2025,Saudi Arabia,Australia,World Cup qualifier in Saudi Arabia,69 36,1562 1740,39% 61%,2024-10-24
Jun 10 2025,South Korea,Kuwait,World Cup qualifier in South Korea,28 123,1781 1349,96% 4%,2024-10-24
Jun 10 2025,Uzbekistan,Qatar,World Cup qualifier in Uzbekistan,47 68,1699 1565,79% 21%,2024-10-24
Jun 10 2025,Costa Rica,Trinidad and Tobago,World Cup qualifier in Costa Rica,52 105,1666 1400,89% 11%,2024-10-24
Jun 10 2025,Cuba,Bermuda,World Cup qualifier in Cuba,139 165,1291 1154,80% 20%,2024-10-24
Jun 10 2025,Dominican Republic,Dominica,World Cup qualifier in the Dominican Republic,146 187,1262 992,89% 11%,2024-10-24
Jun 10 2025,El Salvador,Suriname,World Cup qualifier in El Salvador,109 114,1388 1366,67% 33%,2024-10-24
Jun 10 2025,Guyana,Montserrat,World Cup qualifier in Guyana,155 190,1217 966,88% 12%,2024-10-24
Jun 10 2025,Haiti,Curaçao,World Cup qualifier in Haiti,78 132,1525 1324,85% 15%,2024-10-24
Jun 10 2025,Honduras,Antigua and Barbuda,World Cup qualifier in Honduras,77 195,1529 922,98.3% 1.7%,2024-10-24
Jun 10 2025,Jamaica,Guatemala,World Cup qualifier in Jamaica,58 80,1605 1507,76% 24%,2024-10-24
Jun 10 2025,Panama,Nicaragua,World Cup qualifier in Panama,42 117,1714 1363,93% 7%,2024-10-24
Jun 10 2025,Puerto Rico,St Vincent & Grenadines,World Cup qualifier in Puerto Rico,168 169,1120 1111,65% 35%,2024-10-24
Jun 10 2025,Saint Kitts and Nevis,Grenada,World Cup qualifier in Saint Kitts and Nevis,175 179,1093 1076,66% 34%,2024-10-24
Jun 10 2025,Saint Lucia,Barbados,World Cup qualifier in Saint Lucia,177 188,1081 978,76% 24%,2024-10-24
Jul 2025,China,Japan,East Asian Championship in South Korea,110 15,1387 1875,6% 94%,2024-10-24
Jul 2025,South Korea,China,East Asian Championship in South Korea,28 110,1781 1387,94% 6%,2024-10-24
Jul 2025,South Korea,Japan,East Asian Championship in South Korea,28 15,1781 1875,51% 49%,2024-10-24
Sep 9 2025,Argentina,Venezuela,World Cup qualifier in Argentina,2 30,2139 1766,94% 6%,2024-10-24
Sep 9 2025,Brazil,Chile,World Cup qualifier in Brazil,5 50,2014 1675,93% 7%,2024-10-24
Sep 9 2025,Colombia,Bolivia,World Cup qualifier in Colombia,4 51,2031 1669,93% 7%,2024-10-24
