date,team_1,team_2,score,location,change_1,score_1_points,change_2,score_2_points
January 2 2025,Vietnam,Thailand,2 1,Southeast Asian Championship in Vietnam,+21 −21,1325 1407,+4 −7,131 104
January 4 2025,Bahrain,Oman,2 1,Gulf Cup in Kuwait,+21 −21,1528 1511,+3 −4,77 80
January 5 2025,Thailand,Vietnam,2 3,Southeast Asian Championship in Thailand,−30 +30,1377 1355,−12 +7,116 124
January 18 2025,United States,Venezuela,3 1,Friendly in the United States,+10 −10,1769 1735,+2 −1,32 37
January 22 2025,United States,Costa Rica,3 0,Friendly in the United States,+8 −8,1777 1645,+4 0,28 52
